RefElement                                            |       Insert |       Remove |        Total |            σ
ClosureUnsafePointerHeap (argument literal)           |      4.039ms |      18.08ms |      22.12ms |      1.032ms
ClosureArrayBufferHeap                                |       4.39ms |      17.92ms |      22.31ms |     0.8707ms
Framework.ClosureArrayBufferHeap                      |      4.414ms |      17.98ms |      22.39ms |     0.9125ms
UnsafePointerHeap                                     |        6.5ms |      17.09ms |      23.59ms |     0.7534ms
Framework.UnsafePointerHeap                           |      6.451ms |      17.15ms |       23.6ms |     0.7459ms
ClosureUnsafePointerHeap (local <)                    |      4.665ms |      21.67ms |      26.34ms |     0.7321ms
Framework.ClosureUnsafePointerHeap (argument <)       |      4.608ms |      21.74ms |      26.35ms |     0.7441ms
Framework.ClosureUnsafePointerHeap (local <)          |      4.721ms |      21.76ms |      26.48ms |      1.371ms
ClosureUnsafePointerHeap (argument <)                 |      4.698ms |      22.02ms |      26.71ms |      1.193ms
ArrayPointerHeap (workaround)                         |      13.08ms |      30.84ms |      43.92ms |      1.025ms
Framework.ArrayPointerHeap                            |      13.79ms |      31.54ms |      45.32ms |      1.729ms
ArrayPointerHeap                                      |      13.78ms |      31.66ms |      45.44ms |      2.624ms
Framework.ManagedBufferHeap                           |      20.58ms |      33.02ms |      53.61ms |      1.485ms
ManagedBufferHeap                                     |      21.01ms |      32.95ms |      53.95ms |      1.324ms
ClosureManagedBufferHeap                              |      19.18ms |      35.58ms |      54.76ms |      1.763ms
Framework.ClosureManagedBufferHeap                    |      19.31ms |      35.69ms |         55ms |      2.398ms
ManagedBufferHeap (workaround)                        |       21.8ms |       34.8ms |       56.6ms |      1.938ms
PtrElementHeap                                        |      4.289ms |      111.6ms |      115.9ms |      3.335ms
Framework.PtrElementHeap                              |      4.322ms |      113.4ms |      117.7ms |      20.52ms
ArrayHeap                                             |      14.87ms |      121.8ms |      136.7ms |      4.071ms
Framework.ArrayHeap                                   |      14.81ms |        122ms |      136.8ms |      3.787ms
-----------------------------------------------------------------------------------------------------------------

PtrElement Val                                        |       Insert |       Remove |        Total |            σ
-----------------------------------------------------------------------------------------------------------------
NonCoWHeap                                            |       7.03ms |      38.31ms |      45.34ms |      1.389ms
Framework.NonCoWHeap                                  |      7.088ms |      38.27ms |      45.36ms |      2.177ms
ClosureUnsafePointerHeap (argument literal)           |      6.414ms |      41.34ms |      47.76ms |       2.14ms
Framework.ClosureUnsafePointerHeap (argument literal) |      6.476ms |      41.28ms |      47.76ms |      1.569ms
ClosureArrayBufferHeap                                |      6.825ms |      41.42ms |      48.25ms |      1.694ms
Framework.ClosureArrayBufferHeap                      |      6.914ms |       41.6ms |      48.51ms |      1.641ms
Framework.ClosureUnsafePointerHeap (local literal)    |      6.523ms |      42.32ms |      48.84ms |      1.351ms
ClosureUnsafePointerHeap (local literal)              |      6.475ms |      42.51ms |      48.98ms |       2.19ms
UnsafePointerHeap                                     |       8.97ms |      40.86ms |      49.83ms |      1.412ms
Framework.UnsafePointerHeap                           |      9.062ms |      40.82ms |      49.89ms |      1.478ms
Framework.ClosureUnsafePointerHeap (argument <)       |      7.072ms |      45.64ms |      52.71ms |      1.322ms
ClosureUnsafePointerHeap (argument <)                 |      7.103ms |      45.82ms |      52.93ms |      1.886ms
ClosureUnsafePointerHeap (local <)                    |      7.109ms |      46.64ms |      53.74ms |      1.886ms
Framework.ClosureUnsafePointerHeap (local <)          |      7.147ms |      46.71ms |      53.86ms |      1.921ms
ArrayPointerHeap (workaround)                         |      15.53ms |       54.8ms |      70.33ms |      1.842ms
ArrayPointerHeap                                      |      16.36ms |      55.05ms |      71.41ms |      1.516ms
Framework.ArrayPointerHeap                            |      16.37ms |      55.44ms |      71.81ms |      2.921ms
Framework.ManagedBufferHeap                           |      23.14ms |      56.78ms |      79.92ms |      2.695ms
ManagedBufferHeap                                     |      23.31ms |       56.7ms |         80ms |      1.895ms
Framework.ClosureManagedBufferHeap                    |      21.61ms |      59.08ms |      80.69ms |      2.282ms
ClosureManagedBufferHeap                              |      21.85ms |      59.67ms |      81.52ms |      4.053ms
ManagedBufferHeap (workaround)                        |      24.28ms |      58.67ms |      82.95ms |      2.756ms
PtrElementHeap                                        |      4.284ms |      111.5ms |      115.7ms |      3.307ms
