RefElement                                              |       Insert |       Remove |        Total |            σ
BinaryHeap.ArrayHeap                                   |      17.59ms |      138.2ms |      155.7ms |      9.314ms
Framework.ArrayHeap                                    |      17.49ms |      138.3ms |      155.8ms |      8.809ms
------------------------------------------------------------------------------------------------------------------

PtrElement Val                                         |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
BinaryHeap.NonCoWHeap                                  |      7.861ms |      39.62ms |      47.49ms |      1.819ms
Framework.NonCoWHeap                                   |      7.823ms |      40.23ms |      48.05ms |      2.701ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |      6.687ms |      42.79ms |      49.48ms |      2.448ms
Framework.ClosureUnsafePointerHeap (argument literal)  |      6.535ms |      43.05ms |      49.59ms |      2.513ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      6.521ms |       43.2ms |      49.72ms |      2.176ms
Framework.ClosureUnsafePointerHeap (local literal)     |      6.713ms |      43.56ms |      50.27ms |      2.339ms
Framework.UnsafePointerHeap                            |      9.589ms |      41.29ms |      50.88ms |      1.259ms
BinaryHeap.ClosureArrayBufferHeap                      |      6.978ms |      44.03ms |      51.01ms |      3.256ms
BinaryHeap.UnsafePointerHeap                           |      9.771ms |      41.29ms |      51.06ms |      2.226ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      7.217ms |      48.88ms |      56.09ms |      2.143ms
Framework.ClosureUnsafePointerHeap (argument <)        |       7.52ms |      50.11ms |      57.63ms |      3.374ms
Framework.ClosureArrayBufferHeap                       |      9.416ms |      49.29ms |      58.71ms |      34.02ms
BinaryHeap.ArrayPointerHeap (workaround)               |       16.3ms |      55.53ms |      71.83ms |      2.005ms
Framework.ArrayPointerHeap                             |       17.3ms |      56.87ms |      74.17ms |       4.41ms
BinaryHeap.ArrayPointerHeap                            |      17.35ms |      57.61ms |      74.96ms |       5.33ms
BinaryHeap.ClosureManagedBufferHeap                    |       22.1ms |      61.85ms |      83.95ms |       2.53ms
BinaryHeap.ManagedBufferHeap                           |      24.67ms |      59.56ms |      84.23ms |      5.213ms
Framework.ClosureManagedBufferHeap                     |      22.44ms |       62.2ms |      84.64ms |      4.815ms
BinaryHeap.ManagedBufferHeap (workaround)              |      25.86ms |      61.38ms |      87.23ms |      6.974ms
Framework.ManagedBufferHeap                            |      24.89ms |      66.75ms |      91.64ms |      35.95ms
BinaryHeap.PtrElementHeap                              |      5.184ms |      126.1ms |      131.2ms |      3.491ms
Framework.PtrElementHeap                               |      5.032ms |      126.5ms |      131.5ms |      5.852ms
BinaryHeap.ArrayHeap                                   |      19.98ms |        165ms |        185ms |      10.34ms
Framework.ArrayHeap                                    |      20.07ms |      166.3ms |      186.4ms |      10.74ms
------------------------------------------------------------------------------------------------------------------

UnmanagedElement                                       |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
BinaryHeap.NonCoWHeap                                  |      4.907ms |      12.08ms |      16.99ms |     0.4765ms
Framework.NonCoWHeap                                   |       5.01ms |      12.53ms |      17.54ms |      1.542ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      3.713ms |      15.16ms |      18.87ms |     0.7615ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |      3.671ms |      15.26ms |      18.93ms |      1.193ms
Framework.ClosureUnsafePointerHeap (argument literal)  |      3.694ms |      15.56ms |      19.25ms |      1.279ms
Framework.ClosureUnsafePointerHeap (local literal)     |      3.758ms |      15.59ms |      19.34ms |     0.9773ms
BinaryHeap.ClosureArrayBufferHeap                      |      4.086ms |      15.64ms |      19.72ms |      0.792ms
Framework.ClosureArrayBufferHeap                       |      4.072ms |       16.2ms |      20.27ms |      2.488ms
BinaryHeap.UnsafePointerHeap                           |      6.664ms |       13.9ms |      20.57ms |     0.8551ms
Framework.UnsafePointerHeap                            |       6.66ms |      14.09ms |      20.75ms |     0.6145ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      4.479ms |      21.52ms |      25.99ms |      1.121ms
Framework.ClosureUnsafePointerHeap (argument <)        |      4.657ms |      21.83ms |      26.49ms |      1.369ms
BinaryHeap.ArrayPointerHeap (workaround)               |       13.4ms |      27.94ms |      41.34ms |      1.326ms
Framework.ArrayPointerHeap                             |      14.31ms |      28.13ms |      42.44ms |      1.699ms
BinaryHeap.ArrayPointerHeap                            |      14.68ms |      29.13ms |      43.81ms |      3.827ms
BinaryHeap.ManagedBufferHeap                           |       21.2ms |       30.4ms |      51.61ms |      1.755ms
Framework.ManagedBufferHeap                            |      21.47ms |      30.38ms |      51.85ms |      3.416ms
BinaryHeap.ClosureManagedBufferHeap                    |      19.12ms |      33.74ms |      52.86ms |      2.663ms
Framework.ClosureManagedBufferHeap                     |       19.6ms |      34.25ms |      53.85ms |      2.281ms
BinaryHeap.ManagedBufferHeap (workaround)              |      22.77ms |      33.16ms |      55.93ms |      3.313ms
BinaryHeap.PtrElementHeap                              |      5.001ms |      125.8ms |      130.8ms |      4.756ms
Framework.PtrElementHeap                               |      4.956ms |      127.3ms |      132.2ms |      7.874ms
BinaryHeap.ArrayHeap                                   |      17.17ms |      136.3ms |      153.5ms |      8.154ms
Framework.ArrayHeap                                    |      17.15ms |      138.4ms |      155.5ms |      10.84ms
------------------------------------------------------------------------------------------------------------------

