ReferenceElement                                        |       Insert |       Remove |        Total |            σ
BinaryHeap.UnsafePointerHeap                           |      9.867ms |      43.02ms |      52.89ms |      6.385ms
BinaryHeap.PointerValueElementHeap                     |      9.841ms |      43.33ms |      53.17ms |      2.423ms
Framework.PointerValueElementHeap                      |      9.955ms |      43.68ms |      53.64ms |      2.847ms
Framework.ClosureUnsafePointerHeap (local literal)     |      6.697ms |       47.4ms |       54.1ms |      25.27ms
Framework.ClosureUnsafePointerHeap (argument <)        |      7.602ms |      51.12ms |      58.72ms |      3.725ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      7.757ms |      51.98ms |      59.74ms |      11.38ms
BinaryHeap.ClosureArrayBufferHeap                      |      10.66ms |      61.39ms |      72.05ms |      2.891ms
Framework.ClosureArrayBufferHeap                       |      10.51ms |      61.63ms |      72.14ms |      3.236ms
BinaryHeap.ArrayPointerHeap                            |      17.95ms |      57.43ms |      75.38ms |      2.651ms
BinaryHeap.ArrayPointerHeap (workaround)               |      17.28ms |      58.45ms |      75.73ms |       18.7ms
Framework.ArrayPointerHeap                             |      18.36ms |      58.79ms |      77.15ms |      3.749ms
Framework.ManagedBufferHeap                            |      25.14ms |      60.08ms |      85.21ms |      6.164ms
BinaryHeap.ManagedBufferHeap                           |      25.56ms |      59.95ms |      85.51ms |       7.49ms
Framework.ClosureManagedBufferHeap                     |      23.02ms |      63.64ms |      86.66ms |      5.234ms
BinaryHeap.ClosureManagedBufferHeap                    |      23.14ms |      64.22ms |      87.36ms |       4.78ms
BinaryHeap.ManagedBufferHeap (workaround)              |      26.25ms |      64.43ms |      90.68ms |       28.7ms
BinaryHeap.ArrayHeap                                   |      20.61ms |      169.2ms |      189.9ms |       6.51ms
Framework.ArrayHeap                                    |       20.9ms |      169.3ms |      190.2ms |      5.897ms
------------------------------------------------------------------------------------------------------------------

UnmanagedElement                                       |       Insert |       Remove |        Total |            σ
------------------------------------------------------------------------------------------------------------------
Framework.NonCoWHeap                                   |      8.172ms |      34.96ms |      43.13ms |      6.427ms
BinaryHeap.NonCoWHeap                                  |      8.138ms |      35.05ms |      43.19ms |      6.279ms
BinaryHeap.ClosureUnsafePointerHeap (argument literal) |      6.692ms |      39.19ms |      45.88ms |      7.837ms
BinaryHeap.ClosureUnsafePointerHeap (local literal)    |      6.792ms |       39.2ms |      45.99ms |      8.668ms
Framework.UnsafePointerHeap                            |      9.767ms |      36.59ms |      46.36ms |      6.494ms
BinaryHeap.UnsafePointerHeap                           |      9.824ms |      36.73ms |      46.55ms |      6.427ms
BinaryHeap.UnmanagedElementHeap                        |      9.765ms |      36.86ms |      46.62ms |      6.284ms
Framework.ClosureUnsafePointerHeap (argument literal)  |      6.803ms |      40.15ms |      46.95ms |      15.77ms
Framework.ClosureUnsafePointerHeap (local literal)     |      6.778ms |      40.38ms |      47.16ms |      19.05ms
Framework.UnmanagedElementHeap                         |      9.877ms |      37.99ms |      47.87ms |       6.95ms
BinaryHeap.ClosureUnsafePointerHeap (argument <)       |      7.593ms |      44.85ms |      52.44ms |      11.93ms
Framework.ClosureUnsafePointerHeap (argument <)        |      8.173ms |      44.91ms |      53.08ms |      13.65ms
Framework.ClosureArrayBufferHeap                       |      10.86ms |      56.22ms |      67.09ms |       7.74ms
BinaryHeap.ClosureArrayBufferHeap                      |      11.08ms |      56.04ms |      67.13ms |      7.295ms
BinaryHeap.ArrayPointerHeap (workaround)               |      17.38ms |       51.8ms |      69.18ms |      7.774ms
BinaryHeap.ArrayPointerHeap                            |      17.88ms |      51.79ms |      69.67ms |      7.016ms
Framework.ArrayPointerHeap                             |      18.23ms |      53.01ms |      71.23ms |       7.14ms
BinaryHeap.ManagedBufferHeap                           |      25.52ms |      54.03ms |      79.55ms |      8.519ms
Framework.ManagedBufferHeap                            |      24.95ms |      54.67ms |      79.61ms |       9.34ms
BinaryHeap.ClosureManagedBufferHeap                    |       23.4ms |      58.95ms |      82.36ms |      7.444ms
Framework.ClosureManagedBufferHeap                     |      23.36ms |      59.96ms |      83.32ms |      12.95ms
BinaryHeap.ManagedBufferHeap (workaround)              |      26.71ms |      57.92ms |      84.62ms |      20.99ms
Framework.ArrayHeap                                    |      20.48ms |        161ms |      181.5ms |      10.59ms
BinaryHeap.ArrayHeap                                   |      20.68ms |      161.1ms |      181.8ms |      10.21ms
------------------------------------------------------------------------------------------------------------------

