ReferenceElement                                      |       Insert |       Remove |        Total |            σ
ClosureUnsafePointerHeap (argument <)                 |      0.398ms |      2.553ms |      2.951ms |      0.304ms
ClosureManagedBufferHeap                              |      0.371ms |      2.586ms |      2.957ms |     0.3379ms
ClosureArrayBufferHeap                                |     0.4435ms |      3.125ms |      3.569ms |     0.3971ms
ArrayPointerHeap (workaround)                         |      0.297ms |      3.644ms |      3.941ms |     0.4102ms
Framework.ClosureUnsafePointerHeap (local literal)    |       3.17ms |      9.207ms |      12.38ms |      1.149ms
Framework.ClosureUnsafePointerHeap (argument <)       |      3.141ms |      9.507ms |      12.65ms |      1.166ms
Framework.ClosureUnsafePointerHeap (argument literal) |      3.168ms |      9.505ms |      12.67ms |      1.262ms
ClosureUnsafePointerHeap (local <)                    |      1.328ms |      11.61ms |      12.94ms |      1.128ms
Framework.NonCoWHeap                                  |      1.825ms |      14.75ms |      16.57ms |      1.859ms
Framework.UnsafePointerHeap                           |      4.162ms |      17.34ms |       21.5ms |      1.817ms
Framework.ClosureUnsafePointerHeap (local <)          |      4.975ms |      22.72ms |       27.7ms |      2.261ms
Framework.ClosureArrayBufferHeap                      |      7.199ms |      24.05ms |      31.25ms |      2.575ms
Framework.ArrayPointerHeap                            |      12.44ms |      34.42ms |      46.86ms |      3.594ms
Framework.ClosureManagedBufferHeap                    |      20.33ms |      29.19ms |      49.52ms |      7.921ms
Framework.ManagedBufferHeap                           |      19.55ms |      34.78ms |      54.32ms |      4.264ms
Framework.ArrayHeap                                   |       13.9ms |      136.8ms |      150.7ms |      11.77ms
-----------------------------------------------------------------------------------------------------------------
